id,created_at,username,lang,text
818385703872720896,2017-01-09 09:15:31,SlimFastUK,en,@cloemccloclo Yum! Delicious idea Chloe 👌 make sure you take a picture. #SlimFastChallenge
818385703134494720,2017-01-09 09:15:31,AFCAMDEN,en,Hasn't fully recovered from initial ankle problem. Hope he doesn't need surgery to correct it long term.  #afc https://t.co/hFR6QawzA7
818385698151604224,2017-01-09 09:15:29,MacGPCWorld,en,https://t.co/x7o9zrWOQI are a local Clackmannanshire based computer repair &amp; services company that also supports the local community #Alloa
818385694460616706,2017-01-09 09:15:29,lizziecrae,en,"Paid for a fucking bus ticket to go to uni, FOR A 15 MINUTE MEETING r u srs"
818385693017784320,2017-01-09 09:15:28,SkinnydipLondon,en,@nads_brown Yes! We should be getting lots more new styles soon 😀
818385691448967168,2017-01-09 09:15:28,georgebettany,en,"Sanctus in The Times this morning

BOOM

😍 @ Shoreditch https://t.co/I5uoDBXjZ9"
818385688592785408,2017-01-09 09:15:27,johnccmay,en,Tube strike?  Just a normal commute for me and my @BromptonBicycle https://t.co/mbq5Juh4md
818385672004403202,2017-01-09 09:15:23,FionaDecleorUK,en,@natalievaness15 @debbieflint @DecleorUK love this thank you xx
818385669252857856,2017-01-09 09:15:23,dignitypetcrem,en,R.I.P. PARIS X Our hearts go out to Amy. So sorry we've had to look after him for you ❤🐾 https://t.co/2JXDnmm5yO
818385668950790145,2017-01-09 09:15:23,Tony_Mattson,en,"2017: A new year, an old resolution | Let's all day o to crap via canalside view @mweigel  https://t.co/HnmnhjtWjC"
818385666434273280,2017-01-09 09:15:22,edgeorge92,en,Blindly walked straight into chaos #TubeStrike
818385665826181120,2017-01-09 09:15:22,THEINFERNO_P3,und,https://t.co/mQKWw6n8S3
818385663313801216,2017-01-09 09:15:21,LOFTINTERIORS,en,"It's the second week of 2017, let's do this! #mondaymotivation https://t.co/VyUMCVth8p"
818385654044364800,2017-01-09 09:15:19,Gwijde,en,"A reminder of the importance of work-life balance, as provided by Dan https://t.co/vgCpQ2w5mF"
